,,,,ترانه هاي قديمي,,,,,
,,,,CD 1 (1 - 23),,,,,
,,,,14-2,خواهم كه بر زلفت,سيما بينا,قديمي,شوريده اعمي,دشتي
,,,,14-3,خواهم كه بر زلفت,معين,قديمي,شوريده اعمي,دشتي
,,,,14-4,خواهم كه بر زلفت,,قديمي,شوريده اعمي,دشتي
,,,,14-5,خواهم كه بر زلفت,عليرضا افتخاري,قديمي,شوريده اعمي,دشتي
,,,,14-6,خواهم كه بر زلفت,محسن كرامتي,حاجي خان,بهايي بخارايي,دشتي
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,15-1,شبي ياد و دارم كه چشمم نخفت (شمع و پروانه),قمر,مرتضي ني داوود,سعدي,بيات ترك
,,,,15-2,شبي ياد و دارم كه چشمم نخفت,عهديه,مرتضي ني داوود,سعدي,بيات ترك
,,,,15-3,شبي ياد و دارم كه چشمم نخفت,شهرام ناظري,مرتضي ني داوود,سعدي,بيات ترك
,,,,15-4,شبي ياد و دارم كه چشمم نخفت,صديق تعريف,مرتضي ني داوود,سعدي,بيات ترك
,,,,15-5,شبي ياد و دارم كه چشمم نخفت,زويا ثابت,مرتضي ني داوود,سعدي,بيات ترك
,,,,15-6,شبي ياد و دارم كه چشمم نخفت,محسن كرامتي,مرتضي ني داوود,سعدي,شور
,,,,15-7,شبي ياد و دارم كه چشمم نخفت,محسن كرامتي,مرتضي ني داوود,سعدي,بيات ترك
,,,,15-8,شبي ياد و دارم كه چشمم نخفت,شيدا - جاهد,مرتضي ني داوود,سعدي,بيات ترك
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,16,شبي ياد و دارم كه چشمم نخفت (شمع و پروانه),شجريان,مرتضي ني داوود,سعدي,شور
,,,,17-1,صبح شد باز واي بر من و دل (صبح شد باز),پوران,حبيب سماعي,مظفر شيرازي,افشاري
